attribution_id,strategy_id,regime,granularity,scope,trade_count,win_rate,profit_factor,sharpe,expectancy,max_drawdown,avg_r,win_rate_shrunk,profit_factor_shrunk,sharpe_shrunk,low_confidence,model_version,qualification_run_id,created_at,recovery_factor,oos_months
3519,17,Trending-Up,D1,PORTFOLIO,2,0.5,0.5926114191443208,-0.360554715554966,-0.20394011988768546,0.010012068549360396,0.5926114191443208,0.6260504201680672,1.2127018664065417,0.19406812775956533,True,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.4133218470072825,6.04
3520,17,UNKNOWN,D1,PORTFOLIO,24,0.7083333333333334,1.604132184103164,0.4884894412680137,0.1766038723973444,0.026633135258396883,0.6605250169836557,0.7083333333333334,1.604132184103164,0.4884894412680137,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,1.5959245699290292,60.02
3521,18,High-Vol,H1,PORTFOLIO,153,0.3660130718954248,1.1117858817371316,0.5094772962170393,0.07116135108591858,0.08886788538235399,1.925771973723246,0.3660130718954248,1.1117858817371316,0.5094772962170393,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,1.103302269790499,17.67
3522,18,Trending-Down,H1,PORTFOLIO,132,0.30303030303030304,0.8275705871439236,-0.7317409420914264,-0.12231002129249721,0.189126887121847,1.9034123504310243,0.30303030303030304,0.8275705871439236,-0.7317409420914264,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.8431095736140434,23.72
3523,18,Trending-Up,H1,PORTFOLIO,205,0.3463414634146341,1.022674768097608,0.15184167227118628,0.015060259101784525,0.12269272961083565,1.93011857640957,0.3463414634146341,1.022674768097608,0.15184167227118628,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,0.08530776036432916,11.99
3524,18,UNKNOWN,H1,PORTFOLIO,1318,0.3254931714719272,0.9347114862655915,-0.4949025774381343,-0.04452976379561898,0.5617855292777167,1.9369662267834755,0.3254931714719272,0.9347114862655915,-0.4949025774381343,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.9083160867778504,66.06
3525,19,High-Vol,D1,PORTFOLIO,2,1.0,,2.505807686121716,0.4836529718050594,0.0,,0.8363095238095238,0.7287882163367324,0.515859944494213,True,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,,11.37
3526,19,Ranging,D1,PORTFOLIO,10,0.6,0.47438007129227483,-0.8227580276459482,-0.19611044786452905,0.027975797187612974,0.31625338086151655,0.6,0.47438007129227483,-0.8227580276459482,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.7043807987435736,11.37
3527,19,Trending-Down,D1,PORTFOLIO,1,1.0,,,0.03168474674205395,0.0,,0.8090277777777778,0.7287882163367324,-0.28011915215678795,True,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,,5.42
3528,19,Trending-Up,D1,PORTFOLIO,3,1.0,,1.5489460512834954,0.43503457879703405,0.0,,0.8567708333333334,0.7287882163367324,0.40578029913331826,True,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,,11.99
3529,19,UNKNOWN,D1,PORTFOLIO,32,0.78125,0.5365442055790678,-0.5139713500255652,-0.10207266206039632,0.03740447379764659,0.15023237756213897,0.78125,0.5365442055790678,-0.5139713500255652,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.8697455369965676,60.02
3530,21,High-Vol,H4,PORTFOLIO,10,0.7,2.323319156280323,1.062090196654977,0.3979184885303253,0.020096170280367122,0.9957082098344241,0.7,2.323319156280323,1.062090196654977,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,1.9942114455618003,18.04
3531,21,Ranging,H4,PORTFOLIO,40,0.625,1.4686773037321386,0.8378029145799925,0.17615556026616233,0.029978645219780803,0.881206382239283,0.625,1.4686773037321386,0.8378029145799925,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,2.3703989265352394,23.62
3532,21,Trending-Down,H4,PORTFOLIO,3,0.3333333333333333,0.49665059510632786,-0.41726101985176733,-0.3358872691434501,0.019918940384114903,0.9933011902126557,0.44381313131313127,0.8140630453998932,-0.14903529822852613,True,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.5107937876020461,17.58
3533,21,UNKNOWN,H4,PORTFOLIO,145,0.4689655172413793,0.8759147759675243,-0.35566648249842936,-0.06606301720911882,0.14809373877871532,0.9918446727867555,0.4689655172413793,0.8759147759675243,-0.35566648249842936,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.661058206535954,60.02
3534,22,High-Vol,H4,PORTFOLIO,10,0.5,0.8305510750564692,-0.2294325447162497,-0.08545120710057226,0.03172770406200519,0.8305510750564692,0.5,0.8305510750564692,-0.2294325447162497,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.28162927773039054,17.58
3535,22,Ranging,H4,PORTFOLIO,42,0.47619047619047616,0.7717085530703914,-0.5892883142369002,-0.12047903518082677,0.11169276991347418,0.8488794083774305,0.47619047619047616,0.7717085530703914,-0.5892883142369002,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.4576020438477911,23.62
3536,22,Trending-Down,H4,PORTFOLIO,1,0.0,0.0,,-1.007082152974519,0.010070821529745144,0.0,0.441712204007286,0.7922297363346759,-0.12859817416121222,True,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-1.0,5.95
3537,22,UNKNOWN,H4,PORTFOLIO,130,0.5538461538461539,1.0452687147456898,0.11190335070551018,0.020357406588688155,0.10299818259856769,0.8420220202118057,0.5538461538461539,1.0452687147456898,0.11190335070551018,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,0.20513705153529369,60.02
3538,23,High-Vol,D1,PORTFOLIO,3,0.6666666666666666,1.0787329718539698,0.04834624068427813,0.026304850528701868,0.010023062730627363,0.5393664859269849,0.6015625,1.0845489187861266,0.0664034408754586,True,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,0.06938719411094676,11.37
3539,23,Ranging,D1,PORTFOLIO,6,0.5,0.774910822043904,-0.18800474778815587,-0.052264411777941576,0.01003244646333561,0.774910822043904,0.5,0.774910822043904,-0.18800474778815587,False,hmm-v1.0.0,7fde532c-bae1-4d43-a687-13166858af4d,2026-08-24 10:20:52.898244+00:00,-0.3201297055164402,17.41
